,polarity_score,"('polarity_score', 0)","('polarity_score', 1)","('polarity_score', 2)","('polarity_score', 3)","('polarity_score', 4)","('polarity_score', 5)","('polarity_score', 6)","('polarity_score', 7)","('polarity_score', 8)","('polarity_score', 9)","('polarity_score', 10)","('polarity_score', 11)","('polarity_score', 12)","('polarity_score', 13)","('polarity_score', 14)","('polarity_score', 15)","('polarity_score', 16)","('polarity_score', 17)","('polarity_score', 18)","('polarity_score', 19)","('polarity_score', 20)","('polarity_score', 21)","('polarity_score', 22)","('polarity_score', 23)"
2019-07-29,0.35479016393442653,,,,,,,,,,,,,,,,0.3012078125,0.3060581818181819,0.3859347826086957,0.3760366666666667,0.45139999999999997,0.2947,0.576425,0.37201199999999995,0.31867499999999993
2019-07-30,0.28083213307240734,0.36495,0.707409090909091,0.31563333333333327,0.11152857142857141,0.325,0.45328,0.7465666666666667,0.41398,0.10232727272727273,0.41911249999999994,0.41663636363636364,0.4200093750000001,0.24083225806451616,0.24977115384615384,0.23682380952380963,0.36094262295081964,0.33181076923076935,0.2553045454545454,0.31437291666666656,0.2795170212765957,0.23630527777777757,0.32082450980392135,0.33659147286821695,0.3544636363636363
2019-07-31,0.26792774806892444,0.30307959183673466,0.4283636363636363,0.3617629629629629,0.33545277777777777,0.32372631578947375,0.43916363636363637,0.188525,0.3816111111111111,0.2507125,0.1812,0.4693820512820513,0.27065362318840575,0.2773658536585365,0.31887916666666677,0.2715385786802031,0.2766307692307691,0.2375533707865168,0.2665282608695653,0.07830728476821192,0.2822194174757282,0.24988448275862069,0.23423999999999995,0.134884375,0.3083117647058823
2019-08-01,0.2034215613382901,0.1136571428571429,0.4144681818181819,0.16223333333333334,0.33015999999999995,0.29155000000000003,0.07755000000000001,0.17357999999999998,-0.3168,-0.16765999999999998,0.33799999999999997,0.3009875,0.3096642857142857,0.341184,0.27441081081081076,0.2877916666666667,0.26001525423728816,0.2291060606060606,0.14462333333333333,0.16008846153846157,0.20546637931034492,0.21516557377049184,0.19772799999999996,0.23618235294117643,0.295530303030303
2019-08-02,0.17984378881987578,0.3710589743589743,0.10490000000000003,0.07392,0.22753181818181814,0.2549076923076922,0.2511076923076923,0.13893000000000005,0.19747142857142852,0.06621111111111112,0.014742857142857153,0.005426315789473677,0.18964000000000003,0.1917,0.16751010101010103,0.13908354430379752,0.2065716981132076,0.1852652777777778,0.2293686274509803,0.1361922077922078,0.18140178571428572,0.16601250000000004,0.2800125,0.44803999999999994,0.31615555555555563
2019-08-03,0.24484861111111117,0.02902142857142861,0.12562,0.9538,0.1140923076923077,0.44670000000000004,0.19825,0.46995999999999993,0.24126666666666666,0.7942,0.0604,0.756,0.5829333333333332,0.13750000000000007,0.36690833333333334,0.38078,0.18822857142857144,0.017766666666666677,0.17055000000000003,0.57317,0.2884375,-0.028724999999999987,0.2824,0.12625,0.11487999999999998
2019-08-04,0.25728630952380954,0.14445000000000002,0.09232500000000005,0.3537,0.26366666666666666,0.016000000000000014,-0.2732,0.5252571428571428,0.6029,-0.10935,,,0.4001666666666667,0.4139571428571428,0.12841666666666668,0.29164285714285715,0.14274666666666666,0.19706315789473686,0.22644444444444448,0.2775916666666667,0.36978823529411764,0.06128571428571429,0.40648,0.36706,0.22849166666666673
2019-08-05,0.1822085124677558,0.38139411764705883,0.15576666666666666,0.13390943396226418,-0.009163636363636351,0.32174800000000003,0.2929363636363636,0.13030000000000003,0.33483,0.1501578947368421,0.33537999999999996,-0.042623076923076944,0.16232619047619049,0.29692708333333334,0.15051063829787234,0.1897118279569893,0.14491014492753623,0.2233303797468354,0.16878082191780824,0.17296629213483145,0.17510740740740746,0.13154545454545455,0.1750230769230769,0.23735688073394495,0.12014166666666666
2019-08-06,0.2109741333333333,0.1687637931034483,0.29805999999999994,0.29043125,0.13327407407407407,0.19911162790697673,0.1493125,0.27596363636363636,0.21676,0.07626249999999998,0.19968888888888892,0.4188230769230769,0.3188473684210527,0.16453333333333334,0.2643059701492537,0.08576909090909089,0.20614800000000005,0.24532162162162158,0.11379302325581396,0.18290769230769227,0.2240638888888889,0.20516071428571428,0.34029545454545457,0.5277299999999999,0.25153333333333333
2019-08-07,0.24743338898163583,0.08396428571428571,0.1594733333333333,0.1813857142857143,-0.005355555555555564,0.45665,0.507775,0.4140333333333334,0.6728999999999999,0.21332,0.5932,0.41116,0.27601875,0.14559142857142857,0.052258695652173906,0.3098716981132074,0.3073851063829787,0.3069926829268293,0.24575,0.22862962962962963,0.21301785714285712,0.35318529411764704,0.2143869565217391,0.4842235294117647,0.2667149999999999
