Date,Open,High,Low,Close,Adj Close,Volume,var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),previous-close,movement
2016-03-08,100.78,101.76,100.4,101.03,95.21,31561900,100.53,100.75,101.5,103.01,101.87,101.87,down
2016-03-09,101.31,101.58,100.27,101.12,95.29,27201700,100.75,101.5,103.01,101.87,101.03,101.03,up
2016-03-10,101.41,102.24,100.15,101.17,95.34,33513600,101.5,103.01,101.87,101.03,101.12,101.12,up
2016-03-11,102.24,102.28,101.5,102.26,96.37,27408200,103.01,101.87,101.03,101.12,101.17,101.17,up
2016-03-14,101.91,102.91,101.78,102.52,96.61,25076100,101.87,101.03,101.12,101.17,102.26,102.26,up
2016-03-15,103.96,105.18,103.85,104.58,98.55,40067700,101.03,101.12,101.17,102.26,102.52,102.52,up
2016-03-16,104.61,106.31,104.59,105.97,99.86,38303500,101.12,101.17,102.26,102.52,104.58,104.58,up
2016-03-17,105.52,106.47,104.96,105.8,99.7,34420700,101.17,102.26,102.52,104.58,105.97,105.97,down
2016-03-18,106.34,106.5,105.19,105.92,99.82,44205200,102.26,102.52,104.58,105.97,105.8,105.8,up
2016-03-21,105.93,107.65,105.14,105.91,99.81,35502700,102.52,104.58,105.97,105.8,105.92,105.92,down
2016-03-22,105.25,107.29,105.21,106.72,100.57,32444400,104.58,105.97,105.8,105.92,105.91,105.91,up
2016-03-23,106.48,107.07,105.9,106.13,100.01,25703500,105.97,105.8,105.92,105.91,106.72,106.72,down
2016-03-24,105.47,106.25,104.89,105.67,99.58,26133000,105.8,105.92,105.91,106.72,106.13,106.13,down
2016-03-28,106.0,106.19,105.06,105.19,99.13,19411400,105.92,105.91,106.72,106.13,105.67,105.67,down
2016-03-29,104.89,107.79,104.88,107.68,101.47,31190100,105.91,106.72,106.13,105.67,105.19,105.19,up
2016-03-30,108.65,110.42,108.6,109.56,103.25,45601100,106.72,106.13,105.67,105.19,107.68,107.68,up
2016-03-31,109.72,109.9,108.88,108.99,102.71,25888400,106.13,105.67,105.19,107.68,109.56,109.56,down
2016-04-01,108.78,110.0,108.2,109.99,103.65,25874000,105.67,105.19,107.68,109.56,108.99,108.99,up
2016-04-04,110.42,112.19,110.27,111.12,104.72,37356200,105.19,107.68,109.56,108.99,109.99,109.99,up
